Q,C7_real,C7_imag
1,-0.422888,0
2,-0.343884,0
3,-0.31067,0
4,-0.290098,0
5,-0.277777,0
6,-0.268613,0
7,-0.261113,0
8,-0.254783,0
9,-0.24932,0
10,-0.244524,0
11,-0.240254,0
12,-0.236411,0
13,-0.23292,0
14,-0.229725,0
15,-0.226781,0
16,-0.224053,0
17,-0.221512,0
18,-0.219136,0
19,-0.216905,0
20,-0.214804,0
21,-0.212818,0
22,-0.210935,0
23,-0.209147,0
24,-0.207445,0
25,-0.20582,0
26,-0.204266,0
27,-0.202779,0
28,-0.201351,0
29,-0.19998,0
30,-0.19866,0
31,-0.197389,0
32,-0.196163,0
33,-0.194979,0
34,-0.193834,0
35,-0.192726,0
36,-0.191652,0
37,-0.190611,0
38,-0.189601,0
39,-0.188621,0
40,-0.187667,0
41,-0.18674,0
42,-0.185837,0
43,-0.184958,0
44,-0.184102,0
45,-0.183266,0
46,-0.182451,0
47,-0.181655,0
48,-0.180878,0
49,-0.180118,0
50,-0.179376,0
51,-0.178649,0
52,-0.177938,0
53,-0.177242,0
54,-0.17656,0
55,-0.175892,0
56,-0.175238,0
57,-0.174596,0
58,-0.173966,0
59,-0.173348,0
60,-0.172742,0
61,-0.172146,0
62,-0.171561,0
63,-0.170987,0
64,-0.170422,0
65,-0.169867,0
66,-0.169322,0
67,-0.168785,0
68,-0.168257,0
69,-0.167737,0
70,-0.167226,0
71,-0.166722,0
72,-0.166227,0
73,-0.165738,0
74,-0.165257,0
75,-0.164784,0
76,-0.164317,0
77,-0.163856,0
78,-0.163402,0
79,-0.162955,0
80,-0.162513,0
81,-0.162078,0
82,-0.161648,0
83,-0.161224,0
84,-0.160806,0
85,-0.160393,0
86,-0.159985,0
87,-0.159583,0
88,-0.159185,0
89,-0.158793,0
90,-0.158405,0
91,-0.158022,0
92,-0.157643,0
93,-0.157269,0
94,-0.156899,0
95,-0.156534,0
96,-0.156172,0
97,-0.155815,0
98,-0.155462,0
99,-0.155113,0
100,-0.154767,0
